type,building_count
"",19161762
house,4490686
detached,820539
apartments,544268
shed,522466
residential,360162
garages,208175
industrial,156984
garage,146942
retail,76379
service,67698
commercial,40590
roof,36628
construction,34999
greenhouse,30851
allotment_house,29327
school,29176
ruins,28875
kindergarten,24379
office,18086
bungalow,17786
warehouse,16618
semidetached_house,12940
church,12164
hangar,11305
hospital,10771
hut,10631
farm_auxiliary,9972
public,9397
storage_tank,7808
terrace,6993
farm,5755
dormitory,5549
hotel,4968
collapsed,4240
train_station,3816
ail,3803
manufacture,3758
kiosk,3698
university,3428
carport,3349
military,3288
factory,2838
barn,2820
civic,2737
college,2698
cowshed,2076
bunker,2025
mosque,1833
pavilion,1740
chapel,1604
transportation,1572
parking,1492
guardhouse,1414
government,1352
store,1293
gatehouse,1058
cabin,950
sports_centre,903
yurt,674
supermarket,664
fire_station,652
shop,629
grandstand,608
stable,606
ger,567
shelter,533
cathedral,525
silo,521
tank,485
abandoned,477
temple,448
sty,433
administrative,409
toilets,394
boathouse,379
bridge,367
outbuilding,350
tower,342
transformer_tower,297
no,293
gazebo,253
stadium,245
clinic,230
sports_hall,226
barrack,224
tent,224
container,220
duplex,195
chicken_coop,180
bakehouse,176
presbytery,167
stands,164
veranda,159
houseboat,147
bath,143
policlinic,142
water_tower,138
entrance,137
gasometer,132
static_caravan,132
sauna,123
proposed,120
police,119
sanatorium,111
sheds,110
guest_house,106
museum,100
kitchen,97
greenhouse_horticult,95
garbage_shed,89
destroyed,86
barracks,83
font,82
mansion,81
cover,68
religious,60
henhouse,58
trade_pavilion,54
cottage,53
ship,49
checkpoint,49
wall,49
livestock,49
heat_station,49
glasshouse,46
shack,46
cellar,44
mall,43
theatre,43
station,43
ventilation_kiosk,42
historic,39
prison,38
И,36
cafe,34
data_center,32
community_centre,32
parking_entrance,30
synagogue,28
elevator,28
depot,28
yes;house,27
sport,26
palace,26
abandoned ,26
utility,26
damaged,25
townhouse,25
castle_wall,25
stream,25
monastery,24
castle,24
bank,23
security_booth,22
cinema,22
н,21
stilt_house,21
sport_hall,21
column,21
reservoir,19
yes;apartments,19
fuel,19
undefined,19
castle_tower,19
slurry_tank,18
library,18
weight_room,18
restaurant,18
social_facility,18
apartments;yes,18
railway,17
mixed,16
chimney,16
tribune,16
farmhouse,16
triumphal_arch,16
riding_hall,16
bus_station,15
public_building,14
substation,14
bathhouse,14
education,14
lighthouse,14
sheltr,13
porch,13
retail;apartments,12
government_office,12
motel,11
ground_station,11
boiler,11
dovecote,11
gate,11
beach_hut,11
disused,11
ret,11
burnt,10
building_passage,10
в,10
demolished,10
security,10
townhall,10
apartments;retail,9
ruin,9
healthcare,9
marquee,9
col,9
shrine,8
bleachers,8
terminal,8
post_office,8
model,8
bell_tower,8
courthouse,8
hostel,8
private_garage,8
swimming_pool,7
gas_station,7
observatory,7
windmill,7
doctors,7
works,7
airport_terminal,7
fire_lookout,6
railway_station,6
bus_stop,6
lift,6
hotel_house,6
power_substation,6
quonset_hut,6
ramp,6
sheepfold,6
de,6
recreation,6
administration,5
brewery,5
storage,5
yard,5
tanks,5
pole,5
buld,5
electricity,5
tech_cab,5
semi,5
pigshed,5
yes;roof,5
boat,4
transformer,4
stage,4
basilica,4
passage,4
oil_tank,4
underground_crossing,4
mortuary,4
marketplace,4
house;yes,4
campanile,4
air-supported,4
exs_militari,4
crossing_box,4
railway_car,4
stall,4
yes;commercial,4
roof;yes,4
watchtower,4
water_works,4
wayside_shrine,4
hall_of_residence,4
manor,4
pergola,4
car_repair,4
ку,4
storage_tankm,4
resort,4
appartments,4
shacks,3
shopp,3
arts_centre,3
retail;yes,3
exhibition_hall,3
greenfield,3
tribunes,3
gym,3
market,3
containers,3
primary,3
studio,3
planetarium,3
circus,3
bandstand,3
kingdom_hall,3
cinst,3
scene,3
yes;industrial,3
cols,3
constuction,3
ex_military,3
8,3
production_hall,3
gangar,3
pipetower,3
distruction,3
garages;yes,3
signal_box,3
fast_food,3
polyclinic,3
weir,3
aparture,3
yes;retail,3
housing,3
security_post,3
laboratory,3
дом,3
lyes,2
roines,2
story,2
heat_exchange_statio,2
club,2
В,2
villa,2
civil,2
ruiyes,2
monument,2
администра,2
yes;public,2
yes«утоли_мо,2
river_station,2
train_depot,2
folly,2
fire_training,2
school;yes,2
skyscraper,2
embassy,2
train,2
post,2
ruined,2
music_school,2
pigeon_shack,2
pumping_station,2
canteen,2
warehous_agro,2
storage_tankgintauta,2
technical_premise,2
fence,2
pharmacy,2
empty_warehouse,2
tree_house,2
control_tower,2
house;residential,2
р,2
retail_pavilion,2
tomb,2
public_transport,2
detached;house,2
pump_station,2
kindergarten;yes,2
place_of_worship,2
was:house,2
watermill,2
yes;school,2
yesй,2
dormitory;yes,2
Сельская а,2
kiosk ,2
да,2
Guest_House,2
workshop,2
roundhouse,2
mineshaft,2
carport;roof,2
basement,2
dog_house,2
cabine,2
amenity,2
yes;garages,2
institute,2
agricultural,2
commercial;residenti,2
service;yes,2
heating_station,1
Коровник,1
Command_dispatch_poi,1
l,1
terraced_house,1
pool,1
пост_центр,1
belfry,1
inflated,1
98,1
broken,1
сщь,1
sernice,1
citywall,1
щит_управл,1
remise,1
city_administration,1
stilobate,1
shelterq,1
reconstruction,1
offices,1
улица Марш,1
louge,1
danaged,1
governmental_buildin,1
plant,1
transformer_kiosk,1
RE,1
conservatory,1
государств,1
"магазин ""Ха",1
warehousem,1
pav,1
sawmill,1
yes;hotel,1
баня,1
dome,1
rescue_station,1
клуб,1
Детский Са,1
локомотивн,1
спортивный,1
miyes,1
chalet,1
was:collapsed,1
monitoring_station,1
bu,1
yesr,1
brick,1
shred,1
библиотека,1
гараж,1
tes,1
house_of_culture,1
твёрдое_то,1
institutional,1
abandonded,1
industrial;yes,1
public_bath,1
bungalowq,1
smithy,1
convenience,1
power_plant,1
truba,1
contrainer,1
incompleted,1
arch,1
pier,1
judgment,1
educational,1
laundry,1
нежилой_до,1
demolition,1
crossing,1
sta,1
white;brown,1
chiminey,1
shopping_centre,1
vegetable store,1
yes;residential,1
stylobate,1
helicopter,1
servise,1
navigation,1
luggage_storage,1
passenger car body,1
банк,1
Заброшеное,1
